,precision,recall,f1-score,support,model_name,dataset,use_pos,use_context,use_trans,use_weights,batch_size,epoch,lr_rate,resample_perc,n_classes,fold,timestamp_now
accuracy,0.4011774600504625,0.4011774600504625,0.4011774600504625,0.4011774600504625,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
macro avg,0.1620635899869953,0.2231652418122496,0.1076213852253244,1189.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
weighted avg,0.966514506971698,0.4011774600504625,0.5505472663619488,1189.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-24 22:53:42
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
inform,0.9892952720785012,0.9618386816999132,0.9753737906772209,1153.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
instruct,0.2,0.3333333333333333,0.25,3.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
other,0.0555555555555555,0.3333333333333333,0.0952380952380952,6.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
question,0.7407407407407407,1.0,0.851063829787234,20.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
accuracy,0.9520605550883096,0.9520605550883096,0.9520605550883096,0.9520605550883096,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
macro avg,0.2836559383392568,0.3755007640523685,0.3102393879575071,1189.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
weighted avg,0.9725867088769218,0.9520605550883096,0.9612688694852892,1189.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-24 22:57:26
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
inform,0.989843028624192,0.9297484822202948,0.958855098389982,1153.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
other,0.0394736842105263,0.5,0.073170731707317,6.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
question,0.7142857142857143,1.0,0.8333333333333334,20.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
accuracy,0.9217830109335576,0.9217830109335576,0.9217830109335576,0.9217830109335576,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
macro avg,0.320514632445776,0.3947259736505183,0.3236227376329475,1189.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
weighted avg,0.973348669802078,0.9217830109335576,0.945219192178772,1189.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-24 23:00:53
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
inform,0.9917440660474716,0.8334778837814397,0.9057492931196984,1153.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
other,0.015625,0.5,0.0303030303030303,6.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
question,0.7692307692307693,1.0,0.8695652173913043,20.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
accuracy,0.8284272497897393,0.8284272497897393,0.8284272497897393,0.8284272497897393,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
macro avg,0.3252285478968915,0.3809730310163962,0.3150882201162904,1189.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
weighted avg,0.9759960248421786,0.8284272497897393,0.894114430190628,1189.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-24 23:04:30
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
inform,0.988666085440279,0.9835212489158716,0.9860869565217392,1153.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
other,0.0625,0.1666666666666666,0.0909090909090909,6.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
question,0.8333333333333334,1.0,0.9090909090909092,20.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
accuracy,0.9722455845248108,0.9722455845248108,0.9722455845248108,0.9722455845248108,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
macro avg,0.3406427741105161,0.3547887498451245,0.3408695652173913,1189.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
weighted avg,0.974326041361908,0.9722455845248108,0.9729903562631104,1189.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-24 23:08:36
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
inform,0.99438202247191,0.9210754553339116,0.9563259792886089,1153.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
instruct,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
other,0.0326086956521739,0.5,0.0612244897959183,6.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
accuracy,0.913372582001682,0.913372582001682,0.913372582001682,0.913372582001682,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
macro avg,0.296712959732012,0.3934869698096064,0.3131648062411002,1189.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
weighted avg,0.978526597211123,0.913372582001682,0.9433524993216668,1189.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-24 23:13:56
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
inform,0.9917733089579523,0.9410234171725932,0.9657320872274144,1153.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
other,0.0441176470588235,0.5,0.081081081081081,6.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
accuracy,0.9327165685449958,0.9327165685449958,0.9327165685449958,0.9327165685449958,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
macro avg,0.3336987080023966,0.3963366786437038,0.3336717224567692,1189.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
weighted avg,0.9766857284363936,0.9327165685449958,0.9528623724453096,1189.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-24 23:19:18
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
inform,0.9917355371900828,0.9366869037294016,0.9634255129348795,1153.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
other,0.0410958904109589,0.5,0.0759493670886076,6.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
accuracy,0.928511354079058,0.928511354079058,0.928511354079058,0.928511354079058,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
macro avg,0.3332616325144344,0.3957171767232478,0.3326091098446251,1189.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
weighted avg,0.9766338517431716,0.928511354079058,0.9505997396082638,1189.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-24 23:23:54
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
inform,0.9927404718693283,0.9488291413703382,0.9702882483370288,1153.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
instruct,0.2,0.3333333333333333,0.25,3.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
other,0.0566037735849056,0.5,0.1016949152542373,6.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
accuracy,0.9402859545836838,0.9402859545836838,0.9402859545836838,0.9402859545836838,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
macro avg,0.2927634636363191,0.3974517821005245,0.3158388646400221,1189.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
weighted avg,0.9769296776340158,0.9402859545836838,0.9570061375962132,1189.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-24 23:28:11
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
inform,0.9901960784313726,0.96357328707719,0.9767032967032968,1153.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
other,0.0526315789473684,0.3333333333333333,0.0909090909090909,6.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
accuracy,0.9537426408746846,0.9537426408746846,0.9537426408746846,0.9537426408746846,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
macro avg,0.3108801415302963,0.3757485648205509,0.3271192299763727,1189.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
weighted avg,0.9747786946215784,0.9537426408746846,0.9633827867301372,1189.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-24 23:32:31
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
inform,0.990072202166065,0.9514310494362532,0.9703670942061036,1153.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
other,0.0416666666666666,0.3333333333333333,0.074074074074074,6.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
accuracy,0.9419680403700588,0.9419680403700588,0.9419680403700588,0.9419680403700588,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
macro avg,0.3092960288808664,0.3740139594432742,0.323809055786057,1189.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
weighted avg,0.9746032372560748,0.9419680403700588,0.9571534750562316,1189.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-24 23:37:41
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
inform,0.9901960784313726,0.96357328707719,0.9767032967032968,1153.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
other,0.0909090909090909,0.5,0.1538461538461538,6.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
accuracy,0.9545836837678722,0.9545836837678722,0.9545836837678722,0.9545836837678722,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
macro avg,0.3163483575248281,0.3995580886300747,0.3361102389673818,1189.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
weighted avg,0.9749718527980042,0.9545836837678722,0.9637003833471453,1189.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-24 23:42:33
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
inform,0.9944186046511628,0.9271465741543798,0.959605026929982,1153.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
instruct,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
other,0.0428571428571428,0.5,0.0789473684210526,6.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
suggest,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
accuracy,0.9201009251471826,0.9201009251471826,0.9201009251471826,0.9201009251471826,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
macro avg,0.3338965353583294,0.4419733201172923,0.3569814079526421,1189.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
weighted avg,0.9792445702438466,0.9201009251471826,0.9473425935684266,1189.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-24 23:47:32
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
inform,0.9919282511210762,0.9592367736339984,0.9753086419753086,1153.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
other,0.0789473684210526,0.5,0.1363636363636363,6.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
suggest,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
accuracy,0.951219512195122,0.951219512195122,0.951219512195122,0.951219512195122,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
macro avg,0.3863155646964946,0.4465576343286664,0.3905563572230238,1189.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
weighted avg,0.97785278196226,0.951219512195122,0.9632689855285876,1189.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-24 23:52:44
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
disagreement,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
inform,0.992619926199262,0.9332176929748482,0.962002682163612,1153.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
other,0.05,0.5,0.0909090909090909,6.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
suggest,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
accuracy,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
macro avg,0.382279037076085,0.4904596704249783,0.4066517952462137,1189.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
weighted avg,0.9783774389468032,0.926829268292683,0.950569058513173,1189.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-24 23:57:59
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
inform,0.9926131117266852,0.93235039028621,0.9615384615384616,1153.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
other,0.0588235294117647,0.5,0.1052631578947368,6.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
suggest,0.2,0.3333333333333333,0.25,3.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
accuracy,0.9251471825063078,0.9251471825063078,0.9251471825063078,0.9251471825063078,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
macro avg,0.3406814249245405,0.4427167224218395,0.3627176916650601,1189.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
weighted avg,0.9776584179960792,0.9251471825063078,0.9493803220176554,1189.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-25 00:03:18
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
inform,0.9918256130790192,0.9470945359930616,0.968944099378882,1153.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
other,0.0638297872340425,0.5,0.1132075471698113,6.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
suggest,1.0,0.3333333333333333,0.5,3.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
accuracy,0.9394449116904964,0.9394449116904964,0.9394449116904964,0.9394449116904964,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
macro avg,0.4555698190923421,0.4448230289513897,0.4006248383958451,1189.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
weighted avg,0.9789385286825174,0.9394449116904964,0.9572326069341024,1189.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-25 00:08:38
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
inform,0.9918256130790192,0.9470945359930616,0.968944099378882,1153.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
other,0.06,0.5,0.1071428571428571,6.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
suggest,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
accuracy,0.9394449116904964,0.9394449116904964,0.9394449116904964,0.9394449116904964,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
macro avg,0.3597846113922408,0.4448230289513897,0.3759489302967564,1189.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
weighted avg,0.9772371168041286,0.9394449116904964,0.9567814815008292,1189.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-25 00:13:47
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
inform,0.9918845807033364,0.9540329575021682,0.9725906277630416,1153.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
other,0.0714285714285714,0.5,0.125,6.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
suggest,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
